,n_eff,Rhat,divergence,treedepth,energy,observed_engagement,y_0,final_predicted,Unnamed: 0.1,incident_name,start,end,event_name,Unnamed: 0,incident,count,duration,sample_loc,data_loc,lower_predicted,upper_predicted,included
196,True,True,True,True,True,1047.0,2.0,True,25,ballot_stuffing:_MI_Van_Votes,842,870,ballot_stuffing:_MI_Van_Votes_event_1,27,ballot stuffing: MI Van Votes,9254,28,./output/posteriors/ballot_stuffing:_MI_Van_Votes_event_1_raw.p,./data/timeseries/aggregated/ballot_stuffing:_MI_Van_Votes_raw.csv,807.0,1322.0549999999998,True
197,False,False,False,True,False,2167.0,0.0,True,535,Voting_Twice:_Hannity_Virginia_Voters,8701,8729,Voting_Twice:_Hannity_Virginia_Voters_event_5,424,Voting Twice: Hannity Virginia Voters,49851,28,./output/posteriors/Voting_Twice:_Hannity_Virginia_Voters_event_5_raw.p,./data/timeseries/aggregated/Voting_Twice:_Hannity_Virginia_Voters_raw.csv,1551.8899999999999,2903.1099999999997,False
198,True,True,True,True,True,1591.0,3.0,True,540,Voting_Twice:_NH_2016_Double_Vote,17625,17653,Voting_Twice:_NH_2016_Double_Vote_event_1,427,Voting Twice: NH 2016 Double Vote,5038,28,./output/posteriors/Voting_Twice:_NH_2016_Double_Vote_event_1_raw.p,./data/timeseries/aggregated/Voting_Twice:_NH_2016_Double_Vote_raw.csv,1209.945,2107.0,True
199,True,True,True,True,True,351.0,2.0,True,268,partisan_vcr:__Michigan_Republican_applications,16027,16055,partisan_vcr:__Michigan_Republican_applications_event_6,216,partisan vcr:  Michigan Republican applications,5224,28,./output/posteriors/partisan_vcr:__Michigan_Republican_applications_event_6_raw.p,./data/timeseries/aggregated/partisan_vcr:__Michigan_Republican_applications_raw.csv,256.0,548.0549999999998,True
200,True,True,True,True,True,96.0,0.0,True,125,intimidation:_PA_State_Constable,527,555,intimidation:_PA_State_Constable_event_1,108,intimidation: PA State Constable,489,28,./output/posteriors/intimidation:_PA_State_Constable_event_1_raw.p,./data/timeseries/aggregated/intimidation:_PA_State_Constable_raw.csv,67.0,131.0,True
201,False,False,False,True,True,3209.0,0.0,True,164,lost:_NV_trash_ballots,1226,1254,lost:_NV_trash_ballots_event_1,139,lost: NV trash ballots,17193,28,./output/posteriors/lost:_NV_trash_ballots_event_1_raw.p,./data/timeseries/aggregated/lost:_NV_trash_ballots_raw.csv,2425.945,4167.055,False
202,True,True,True,True,True,151.0,0.0,True,262,partisan_vcr:__Michigan_Republican_applications,14653,14681,partisan_vcr:__Michigan_Republican_applications_event_0,216,partisan vcr:  Michigan Republican applications,5224,28,./output/posteriors/partisan_vcr:__Michigan_Republican_applications_event_0_raw.p,./data/timeseries/aggregated/partisan_vcr:__Michigan_Republican_applications_raw.csv,104.0,215.0,True
203,False,False,False,True,True,1764.0,0.0,True,81,False_Victory:_NC_Early_Call,231,260,False_Victory:_NC_Early_Call_event_0,72,False Victory: NC Early Call,2531,29,./output/posteriors/False_Victory:_NC_Early_Call_event_0_raw.p,./data/timeseries/aggregated/False_Victory:_NC_Early_Call_raw.csv,1368.0,2276.055,False
204,True,True,True,True,True,3339.0,16.0,True,14,ballot_harvesting:_Granny_farming_,34173,34202,ballot_harvesting:_Granny_farming__event_2,11,ballot harvesting: Granny farming ,46861,29,./output/posteriors/ballot_harvesting:_Granny_farming__event_2_raw.p,./data/timeseries/aggregated/ballot_harvesting:_Granny_farming__raw.csv,2624.945,5098.329999999999,True
205,True,True,True,True,True,2642.0,0.0,True,533,Voting_Twice:_Hannity_Virginia_Voters,4474,4503,Voting_Twice:_Hannity_Virginia_Voters_event_3,424,Voting Twice: Hannity Virginia Voters,49851,29,./output/posteriors/Voting_Twice:_Hannity_Virginia_Voters_event_3_raw.p,./data/timeseries/aggregated/Voting_Twice:_Hannity_Virginia_Voters_raw.csv,2401.945,2884.0,True
206,True,True,True,True,True,651.0,1.0,True,285,Physical_Mail_Fraud:_ACLU_Signatures,5748,5777,Physical_Mail_Fraud:_ACLU_Signatures_event_2,227,Physical Mail Fraud: ACLU Signatures,10201,29,./output/posteriors/Physical_Mail_Fraud:_ACLU_Signatures_event_2_raw.p,./data/timeseries/aggregated/Physical_Mail_Fraud:_ACLU_Signatures_raw.csv,536.0,820.0,True
207,True,True,False,True,True,171.0,0.0,True,219,Other:_QAnon_Claims,1635,1664,Other:_QAnon_Claims_event_3,190,Other: QAnon Claims,2528,29,./output/posteriors/Other:_QAnon_Claims_event_3_raw.p,./data/timeseries/aggregated/Other:_QAnon_Claims_raw.csv,125.0,235.0,False
208,True,True,True,True,True,1996.0,0.0,True,67,dead_voters:_list_of_100+,521,551,dead_voters:_list_of_100+_event_0,50,dead voters: list of 100+,4441,30,./output/posteriors/dead_voters:_list_of_100+_event_0_raw.p,./data/timeseries/aggregated/dead_voters:_list_of_100+_raw.csv,1717.945,2297.0,True
209,True,True,True,True,True,2571.0,21.0,True,527,Voting_Twice:_5_Ballots,1,31,Voting_Twice:_5_Ballots_event_0,421,Voting Twice: 5 Ballots,3396,30,./output/posteriors/Voting_Twice:_5_Ballots_event_0_raw.p,./data/timeseries/aggregated/Voting_Twice:_5_Ballots_raw.csv,2115.0,3112.055,True
210,False,False,False,True,True,948.0,0.0,True,366,riot:_antifa_burning_things_down,17296,17326,riot:_antifa_burning_things_down_event_4,310,riot: antifa burning things down,92051,30,./output/posteriors/riot:_antifa_burning_things_down_event_4_raw.p,./data/timeseries/aggregated/riot:_antifa_burning_things_down_raw.csv,759.9449999999999,1184.0,False
